run,experiment_id,eval_level,head,mean_auc,std_auc,mean_f1,std_f1,mean_sens,std_sens,mean_spec,std_spec,mean_brier,std_brier,folds,total_test,total_pos,total_neg,pos_rate_test
text_ablation_lr,text_lr_no_drift,speaker,txt,0.5863277191218368,0.07888549722173446,0.1006911217437533,0.0987817669180749,0.05751633986928104,0.05724087332238252,0.984,0.03577708763999663,0.24332299447649705,0.01004484960009571,5,215,84,131,0.39069767441860465
text_ablation_lr,text_lr_no_entropy,clip,txt,0.5750476660092045,0.07166553200311773,0.0900893997445721,0.04292989039925866,0.052991452991452935,0.03248987659615081,0.9658653846153846,0.03885912293028809,0.2063645355950614,0.012782691622310986,5,455,131,324,0.2879120879120879
text_ablation_lr,text_lr_no_entropy,speaker,txt,0.582977040388805,0.08579976341286442,0.08211527035056446,0.07989019429521783,0.04648692810457516,0.04718835714930836,0.984,0.03577708763999663,0.24350024044957125,0.009821196725049872,5,215,84,131,0.39069767441860465
text_ablation_lr,text_lr_novel_only,clip,txt,0.5824719208853824,0.021226486502959056,0.11589861751152072,0.09183986110803603,0.06866096866096863,0.05696581018473988,0.9752884615384616,0.01758459056798842,0.2030314400779169,0.004482785175556526,5,455,131,324,0.2879120879120879
text_ablation_lr,text_lr_novel_only,speaker,txt,0.5748170772582537,0.029221096142027947,0.10432748538011691,0.1027690221121402,0.05751633986928104,0.05724087332238252,1.0,0.0,0.24347796530307103,0.007399879686756444,5,215,84,131,0.39069767441860465
text_ablation_lr,text_lr_traditional_only,clip,txt,0.5875582127985974,0.08015410637193551,0.0847543873127855,0.07943309013666569,0.05270655270655267,0.05589239691399843,0.9627884615384616,0.04061802967057274,0.20470551896461187,0.012640550745010895,5,455,131,324,0.2879120879120879
text_ablation_lr,text_lr_traditional_only,speaker,txt,0.601686861069214,0.09235990348180402,0.08211527035056446,0.07989019429521783,0.04648692810457516,0.04718835714930836,0.984,0.03577708763999663,0.2418338700398217,0.010096777917521763,5,215,84,131,0.39069767441860465
text_classifier_compare,text_catboost_cfg1,clip,txt,0.5277181152181152,0.08857292743440268,0.2667323940427389,0.1664815869155441,0.25384615384615383,0.170276489393682,0.76875,0.06714780133602909,0.2944257168925081,0.046847965565847596,10,455,131,324,0.2879120879120879
text_classifier_compare,text_catboost_cfg1,speaker,txt,0.519089590964591,0.1525708254132263,0.22367965367965364,0.23811185826813916,0.17083333333333334,0.1966421219949103,0.824908424908425,0.11536184049511425,0.2974538730177466,0.07209325341567253,10,215,84,131,0.39069767441860465
text_classifier_compare,text_lr,clip,txt,0.5748870920745921,0.07753017807638596,0.1490406162464986,0.11235023951068793,0.09120879120879118,0.06970302326239546,0.9599431818181818,0.025201376545392794,0.2033829770139422,0.010700006245564104,10,455,131,324,0.2879120879120879
text_classifier_compare,text_lr,speaker,txt,0.5850412087912088,0.08641332003157386,0.12121212121212119,0.136020268530129,0.06972222222222221,0.08003182237455668,0.9928571428571429,0.022587697572631266,0.24091754856504152,0.016047724761497732,10,215,84,131,0.39069767441860465
text_classifier_compare,text_mlp,clip,txt,0.5594369172494172,0.08990372307840533,0.12712406015037592,0.07816700270906499,0.0758241758241758,0.049538654384774124,0.965814393939394,0.0310996216014552,0.21131875968587693,0.01340850472751285,10,455,131,324,0.2879120879120879
