run,experiment_id,fold,head,bin,auc,sens_at_fpr,thr_at_fpr,n_pos,n_neg,fpr_target
catboost_cfg_sweep,audio_catboost_cfg2,1,aud,"(5.0,10.0]",0.527306967984934,0.1111111111111111,0.3631171931547058,9,59,0.1
catboost_cfg_sweep,audio_catboost_cfg2,1,aud,"[0.0,5.0]",0.6207627118644067,0.3125,0.3631171931547058,16,59,0.1
catboost_cfg_sweep,audio_catboost_cfg2,2,aud,"(10.0,15.0]",0.5533333333333333,0.2,0.4081660432718333,10,60,0.1
catboost_cfg_sweep,audio_catboost_cfg2,2,aud,"(5.0,10.0]",0.5999999999999999,0.2,0.4081660432718333,5,60,0.1
catboost_cfg_sweep,audio_catboost_cfg2,2,aud,"[0.0,5.0]",0.46562500000000007,0.0625,0.4081660432718333,16,60,0.1
catboost_cfg_sweep,audio_catboost_cfg2,3,aud,"(10.0,15.0]",0.8557213930348259,0.3333333333333333,0.4313490394328403,3,67,0.1
catboost_cfg_sweep,audio_catboost_cfg2,3,aud,"(5.0,10.0]",0.5671641791044776,0.2857142857142857,0.4313490394328403,7,67,0.1
catboost_cfg_sweep,audio_catboost_cfg2,3,aud,"[0.0,5.0]",0.5469083155650319,0.21428571428571427,0.4313490394328403,14,67,0.1
catboost_cfg_sweep,audio_catboost_cfg2,4,aud,"(10.0,15.0]",0.4031746031746032,0.0,0.39332720298423945,5,63,0.1
catboost_cfg_sweep,audio_catboost_cfg2,4,aud,"(5.0,10.0]",0.6349206349206349,0.2857142857142857,0.39332720298423945,7,63,0.1
catboost_cfg_sweep,audio_catboost_cfg2,4,aud,"[0.0,5.0]",0.6180555555555556,0.3125,0.39332720298423945,16,63,0.1
catboost_cfg_sweep,audio_catboost_cfg2,5,aud,"(10.0,15.0]",0.4533333333333333,0.0,0.8406919074472367,2,75,0.1
catboost_cfg_sweep,audio_catboost_cfg2,5,aud,"(5.0,10.0]",0.6333333333333333,0.0,0.8406919074472367,4,75,0.1
catboost_cfg_sweep,audio_catboost_cfg2,5,aud,"[0.0,5.0]",0.572,0.0,0.8406919074472367,10,75,0.1
catboost_cfg_sweep,audio_catboost_cfg3,1,aud,"(10.0,15.0]",0.3728813559322034,0.14285714285714285,0.37812142643849495,7,59,0.1
catboost_cfg_sweep,audio_catboost_cfg3,1,aud,"(5.0,10.0]",0.5065913370998116,0.1111111111111111,0.37812142643849495,9,59,0.1
catboost_cfg_sweep,audio_catboost_cfg3,1,aud,"[0.0,5.0]",0.6165254237288136,0.3125,0.37812142643849495,16,59,0.1
catboost_cfg_sweep,audio_catboost_cfg3,2,aud,"(10.0,15.0]",0.5683333333333334,0.3,0.32135404869590856,10,60,0.1
catboost_cfg_sweep,audio_catboost_cfg3,2,aud,"(5.0,10.0]",0.6833333333333333,0.4,0.32135404869590856,5,60,0.1
catboost_cfg_sweep,audio_catboost_cfg3,2,aud,"[0.0,5.0]",0.45625000000000004,0.1875,0.32135404869590856,16,60,0.1
catboost_cfg_sweep,audio_catboost_cfg3,3,aud,"(10.0,15.0]",0.7960199004975125,0.3333333333333333,0.5647557416387481,3,67,0.1
catboost_cfg_sweep,audio_catboost_cfg3,3,aud,"(5.0,10.0]",0.55863539445629,0.14285714285714285,0.5647557416387481,7,67,0.1
catboost_cfg_sweep,audio_catboost_cfg3,3,aud,"[0.0,5.0]",0.5565031982942431,0.21428571428571427,0.5647557416387481,14,67,0.1
